Athlete Name,Nouns,Values,Adjectives,Sponsor,IG Followers,Practiced Sport,Nationality,Core Audience,Net Worth (Estimated),Age,Agent,Sports Sponsors
Gabrielle Bernstein,"Spirituality,Wellness,Motivation","Mindfulness,Inner peace,Empowerment","Inspirational,Spiritual,Uplifting",Hay House,2.5M,Wellness,American,"Spiritual seekers,wellness enthusiasts,self-help fans",10 million (approx.),44,Unknown,Lululemon
Baron Baptiste,"Yoga,Mindfulness,Personal growth","Physical,mental,spiritual transformation","Visionary,Compassionate,Wise",Lululemon,160K,Yoga,American,"Yogis,wellness practitioners,spiritual explorers",5 million (approx.),64,Unknown,Lululemon
Charlie Dark,"Yoga,Mindfulness,Social Impact","Community,Activism,Wellness","Inspirational,Grounded,Visionary",Lululemon,12.5K,Yoga,British,"Yogis,social entrepreneurs,Londoners",500K (approx.),43,Unknown,Lululemon
Dr. Chelsea Jackson Roberts,"Yoga,Mindfulness,Education","Self-care,Empowerment,Inclusion","Compassionate,Wise,Innovative",Athleta,35K,Yoga,American,"Yoga teachers,educators,wellness advocates",750K (approx.),38,Unknown,"Lululemon,Athleta"
Janet Stone,"Yoga,Spirituality,Wellness","Authenticity,Connection,Growth","Heartfelt,Spiritual,Experienced",Prana,80K,Yoga,American,"Yogis,spiritual seekers,Bay Area community",1.5 million (approx.),54,Unknown,"Lululemon,Prana"
Ryan Leier,"Yoga,Mindfulness,Personal growth","Awareness,Compassion,Transformation","Wisdom-filled,Heart-centered,Inspiring",Lululemon,40K,Yoga,Canadian,"Yogis,wellness practitioners,Calgary community",1 million (approx.),45,Unknown,Lululemon
Touk Miller,"Rugby,NRL,Australian","Toughness,Speed,Agility","Dynamic,Physical,Inspirational",Nike,35K,Rugby,Australian,"Rugby fans,NRL enthusiasts",500K (approx.),25,Unknown,"SFX Sports,Nike,Lululemon"
Jess Stenson,"Triathlon,Olympics,Australian","Endurance,Strength,Resilience","Ambitious,Disciplined,Inspiring",2XU,20K,Triathlon,Australian,"Triathletes,Olympic fans",250K (approx.),29,Unknown,"2XU,Lululemon"
Anzari Atik,"Soccer,Youth Development","Skill,Passion,Empowerment","Inspirational,Energetic,Uplifting",Adidas,5K,Soccer,Australian,"Soccer youth,Melbourne community",150K (approx.),28,Unknown,"Adidas,Lululemon"
Basra Ajeh,"Weightlifting,Paralympics,Nigerian","Determination,Power,Courage","Resilient,Inspiring,Trailblazing",Nike,2K,Weightlifting,Nigerian,"Paralympic supporters,weightlifters",100K (approx.),32,Unknown,"Nike,Lululemon"
Melissa Tapper,"Table Tennis,Paralympics,Australian","Focus,Agility,Perseverance","Dedicated,Inspiring,World-class",Li-Ning,10K,Table Tennis,Australian,"Table tennis enthusiasts,Paralympic fans",200K (approx.),32,Unknown,"Li-Ning,Lululemon"
Joe Wicks,"Fitness,Wellness,Motivation","Health,Fitness,Empowerment","Energetic,Inspirational,Authentic",Nike,4.5M,Fitness,British,"Fitness enthusiasts,wellness advocates",30 million (approx.),37,Unknown,"Nike,Lululemon"
Sanchia Legister,"Yoga,Wellness,Self-care","Mindfulness,Inner peace,Growth","Nurturing,Wise,Compassionate",Lululemon,8K,Yoga,British,"Yogis,wellness practitioners",120K (approx.),40,Unknown,"Yoga Alliance,Lululemon"
Natacha Oceane,"Surfing,Environmentalism,Wellness","Adventure,Resilience,Eco-awareness","Inspiring,Passionate,Free-spirited",Patagonia,30K,Surfing,French,"Surfers,eco-warriors",200K (approx.),27,Unknown,"Patagonia,Lululemon"
Harry Jameson,"Rugby,Sports Media,British","Analysis,Insight,Storytelling","Knowledgeable,Engaging,Humorous",Sky Sports,50K,Rugby,British,"Rugby fans,sports journalists",250K (approx.),35,Unknown,Lululemon
Jonny Davies,"Cycling,Endurance,British","Speed,Tactics,Teamwork","Skilled,Strategic,Inspirational",INEOS,20K,Cycling,British,"Cyclists,Tour de France fans",400K (approx.),33,Unknown,"Shimano,Lululemon"
Justin Knussi,"Fitness,Athletics,Coaching","Performance,Motivation,Expertise","Experienced,Inspiring,Results-driven",Under Armour,15K,Athletics,American,"Athletes,fitness coaches",300K (approx.),42,Unknown,"Under Armour,Lululemon"
Cameron James,"Cricket,Commentary,Australian","Expertise,Storytelling,Passion","Informative,Engaging,Humorous",Fox Cricket,10K,Cricket,Australian,"Cricket fans,sports broadcasters",200K (approx.),38,Unknown,"Cricket Australia,Fox Sports,Lululemon"
Anya Culling,"Volleyball,Beach Volleyball,British","Agility,Strategy,Teamwork","Dynamic,Inspirational,Skilled",Mizuno,8K,Volleyball,British,"Volleyball players,beach sports enthusiasts",150K (approx.),26,Unknown,"Mizuno,Lululemon"
Eugen Schiller,"Tennis,Coaching,German","Tactical,Experienced,Motivational","Expert,Passionate,Supportive",Head,5K,Tennis,German,"Tennis players,coaches",100K (approx.),39,Unknown,"Head,Lululemon"
Karimu Samuels,"Boxing,Youth Development,British","Discipline,Resilience,Empowerment","Inspirational,Energetic,Life-changing",Everlast,2K,Boxing,British,"Boxers,youth mentors",80K (approx.),30,Unknown,"Everlast,Lululemon"
Katharina Isele,"Tennis,Mental Performance,Coaching","Focus,Resilience,Strategic thinking","Expert,Inspirational,Supportive",Wilson,3K,Tennis,Austrian,"Tennis players,coaches,mental performance seekers",200K (approx.),32,Unknown,"Wilson,Lululemon"
Valarie Allman,"Discus,Track and Field,Olympics","Power,Technique,Endurance","Talented,Focused,Inspirational",Nike,20K,Track and Field,American,"Track enthusiasts,Olympic fans",400K (approx.),28,Unknown,"Nike,Asics"
Grace Barnett,"Middle-distance,Track and Field","Speed,Agility,Resilience","Promising,Dedicated,Ambitious",New Balance,5K,Track and Field,American,"Track athletes,running enthusiasts",150K (approx.),22,Unknown,"New Balance,Asics"
Taliyah Brooks,"Sprinting,Track and Field","Speed,Strength,Confidence","Dynamic,Inspirational,Rising star",Adidas,10K,Track and Field,American,"Sprinters,track fans",200K (approx.),24,Unknown,"Asics,Adidas"
Alli Cash,"Distance Running,Track and Field","Endurance,Passion,Perseverance","Dedicated,Inspirational,Uplifting",Brooks,8K,Track and Field,American,"Runners,track enthusiasts",120K (approx.),27,Unknown,Asics
Payton Chadwick,"High Jump,Track and Field","Height,Technique,Confidence","Talented,Focused,Ambitious",Nike,12K,Track and Field,American,"Track athletes,jumping enthusiasts",250K (approx.),25,Unknown,"Asics,Nike"
Novak Djokovic,"Tennis,Grand Slam,Champion","Agility,Strategic thinking,Mental toughness","Exceptional,Dominant,Inspirational",Head,4.5M,Tennis,Serbian,"Tennis fans,Grand Slam enthusiasts",220 million (approx.),37,Unknown,"Asics,Head,Lacoste"
Lindsay Flanagan,"Marathon,Distance Running","Endurance,Resilience,Determination","Accomplished,Inspirational,Passionate",Under Armour,15K,Distance Running,American,"Runners,marathon enthusiasts",300K (approx.),32,Unknown,"Asics,Under Armour"
Johnny Gregorek,"Middle-distance,Track and Field","Speed,Agility,Tactical thinking","Skilled,Ambitious,Inspirational",New Balance,10K,Track and Field,American,"Track athletes,running fans",200K (approx.),29,Unknown,"Asics,New Balance"
Kate Hall,"Long Jump,Track and Field","Power,Technique,Confidence","Talented,Dedicated,Inspirational",Nike,8K,Track and Field,American,"Track enthusiasts,jumping fans",180K (approx.),26,Unknown,"Asics,Nike"
Sara Hall,"Distance Running,Track and Field","Endurance,Passion,Perseverance","Accomplished,Inspirational,Uplifting",Asics,25K,Distance Running,American,"Runners,track enthusiasts",400K (approx.),39,Unknown,Asics
Emma Bates,"Distance Running,Track and Field","Endurance,Resilience,Determination","Accomplished,Inspirational,Passionate",Brooks,18K,Distance Running,American,"Runners,marathon enthusiasts",350K (approx.),30,Unknown,"Asics,Brooks"
Candace Hill,"Sprinting,Track and Field","Speed,Strength,Confidence","Dynamic,Inspirational,Rising star",Adidas,12K,Track and Field,American,"Sprinters,track fans",250K (approx.),25,Unknown,"Asics,Adidas"
Deena Kastor,"Marathon,Distance Running,Olympics","Endurance,Experience,Inspiration","Legendary,Accomplished,Uplifting",Asics,50K,Distance Running,American,"Runners,marathon enthusiasts",1.5 million (approx.),47,Unknown,Asics
Demek Kemp,"Sprinting,Track and Field","Speed,Strength,Confidence","Dynamic,Inspirational,Rising star",Nike,5K,Track and Field,American,"Sprinters,track fans",150K (approx.),23,Unknown,"Asics,Nike"
Diane Nukuri,"Distance Running,Track and Field","Endurance,Resilience,Determination","Accomplished,Inspirational,Passionate",Asics,20K,Distance Running,Burundian,"Runners,marathon enthusiasts",300K (approx.),38,Unknown,Asics
Belinda Bencic,Tennis,"Agility,Strategic thinking,Mental toughness","Exceptional,Dominant,Inspirational",Nike,150K,Tennis,Slovak,"Tennis fans,Grand Slam enthusiasts",6 million (approx.),25,Unknown,"Asics,Nike"
Kiara Parker,"Middle-distance,Track and Field","Speed,Agility,Tactical thinking","Skilled,Ambitious,Inspirational",New Balance,8K,Track and Field,American,"Track athletes,running fans",180K (approx.),26,Unknown,"Asics,New Balance"
Jelena Rowe,"High Jump,Track and Field","Height,Technique,Confidence","Talented,Focused,Ambitious",Adidas,10K,Track and Field,Australian,"Track enthusiasts,jumping fans",200K (approx.),27,Unknown,"Adidas, Asics"
Ben True,"Distance Running,Track and Field","Endurance,Passion,Perseverance","Accomplished,Inspirational,Uplifting",Saucony,25K,Distance Running,American,"Runners,track enthusiasts",400K (approx.),38,Unknown,"Saucony,Asics"
Clayton Young,"Javelin,Track and Field","Strength,Technique,Focus","Talented,Dedicated,Inspirational",Nike,5K,Track and Field,American,"Track athletes,throwing enthusiasts",120K (approx.),24,Unknown,"Asics,Nike"
Adeline Gray,"Wrestling,Olympics","Power,Agility,Mental toughness","Resilient,Inspirational,Trailblazing",Under Armour,20K,Wrestling,American,"Wrestling fans,Olympic enthusiasts",400K (approx.),32,Unknown,"Asics,Under Armour"
Joey McKenna,"Wrestling,Freestyle","Agility,Strength,Tactical thinking","Skilled,Ambitious,Inspirational",Cliff Keen,15K,Wrestling,American,"Wrestling enthusiasts,freestyle fans",250K (approx.),27,Unknown,"Asics,Cliff Keen"
Mallory Velte,"Volleyball,Beach Volleyball","Agility,Strategy,Teamwork","Dynamic,Inspirational,Skilled",Mizuno,12K,Volleyball,American,"Volleyball players,beach sports enthusiasts",220K (approx.),26,Unknown,"Asics,Mizuno"
Nico Montanez,"Distance Running,Track and Field","Endurance,Passion,Perseverance","Dedicated,Inspirational,Uplifting",Brooks,8K,Distance Running,American,"Runners,track enthusiasts",180K (approx.),29,Unknown,"Asics,Brooks"
